63,183,77,1,77.81,0
41,166,77,1,83.43,1
43,163,68,1,83.44,1
26,163,64,1,86,1
61,166,65,1,79.04,0
72,157,64,0,82.29,1
27,158,67,0,86.81,1
25,171,70,1,85.09,1
15,169,88,0,88.61,1
60,143,79,0,82.12,1
46,172,75,1,81.71,1
61,162,75,0,84.26,1
24,168,66,1,85.68,1
53,158,54,1,81.55,1
62,168,83,1,78.86,0
25,173,87,1,84.92,1
52,178,74,1,80,0
24,178,89,1,84.4,1
63,152,55,1,80.18,1
57,174,88,1,79.46,0
29,175,83,1,84.21,1
52,144,68,0,83.63,1
69,171,65,1,77.1,0
29,178,97,1,83.78,1
51,164,72,1,81.79,1
49,149,58,0,84.62,1
29,149,40,0,86.5,1
54,167,97,0,85.48,1
77,179,100,1,75.08,0
71,158,48,1,77.25,0
75,157,72,1,75.91,0
49,168,60,1,81.54,1
56,171,72,1,79.94,0
26,160,59,0,87.23,1
49,166,75,1,81.65,1
70,174,65,1,76.7,0
29,168,78,1,84.74,1
38,162,74,0,86.36,1
40,153,62,1,85.09,1
27,164,60,1,85.8,1
53,173,64,1,80.29,1
58,155,58,1,80.89,1
45,180,84,1,81.23,1
29,173,75,1,84.36,1
32,173,75,1,84.07,1
34,170,67,1,84.11,1
47,154,64,0,85.25,1
58,160,53,1,80.67,1
38,159,70,0,86.17,1
46,170,48,1,82.06,1
61,153,63,0,83.15,1
29,159,59,1,86.15,1
66,152,66,0,82.35,1
25,173,74,1,84.92,1
27,176,74,0,84.31,1
26,170,81,1,85.08,1
31,172,80,1,84.25,1
38,159,54,0,86.17,1
45,164,74,1,82.86,1
25,150,50,1,88.7,1
27,177,86,1,84.22,1
70,147,67,0,81.25,1
33,171,82,1,83.87,1
31,186,71,1,82.92,1
44,179,97,1,81.35,1
57,186,103,1,78.77,0
32,167,87,0,87.07,1
28,173,74,1,84.44,1
66,165,83,1,77.9,0
25,178,59,1,84.32,1
64,167,64,1,78.55,0
71,169,62,1,76.41,0
19,184,59,1,84.6,1
58,160,67,1,80.67,1
25,178,74,1,84.32,1
60,167,56,1,79.19,0
56,157,54,1,81.15,1
38,151,61,1,85.93,1
34,181,67,1,82.93,1
25,168,78,1,85.6,1
37,166,67,0,86.79,1
44,166,86,1,82.82,1
29,162,59,1,85.84,1
19,155,58,0,87.46,1
25,175,70,1,84.77,1
30,161,127,0,87,1
24,158,53,0,87.1,1
46,160,60,1,82.99,1
46,162,50,1,82.57,1
46,162,50,1,82.57,1
36,175,74,1,83.07,1
46,177,71,1,81.23,1
64,172,82,1,78.21,0
31,157,46,0,86.59,1
24,163,78,0,87.21,1
24,170,124,1,85.49,1
21,160,51,0,87.67,1
48,169,78,1,81.63,1
76,158,49,1,75.34,0
48,172,78,1,81.21,1
35,160,72,0,86.69,1
54,173,93,1,80.18,1
